JobID;JobName;Partition;State;ExitCode;Elapsed;ElapsedRaw;Start;End;NodeList;AllocCPUS;NNodes;Reason;Timelimit;TimelimitRaw;WorkDir;ReqMem;MaxRSS;CPUTime;CPUTimeRAW
6991968.batch;batch;;FAILED;1:0;00:00:04;4;2026-04-30T23:32:03;2026-04-30T23:32:07;n01p073;56;1;;;;;0n;0;00:03:44;224
6991970;ecm_opt_ga_single;tornado;FAILED;1:0;00:00:05;5;2026-04-30T23:32:33;2026-04-30T23:32:38;n01p038;56;1;AssocGrpCpuLimit;12:00:00;720;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:04:40;280
6991970.batch;batch;;FAILED;1:0;00:00:05;5;2026-04-30T23:32:33;2026-04-30T23:32:38;n01p038;56;1;;;;;0n;0;00:04:40;280
6991976;ecm_plan_multi;tornado;COMPLETED;0:0;00:00:07;7;2026-04-30T23:51:53;2026-04-30T23:52:00;n01p038;56;1;None;02:00:00;120;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:06:32;392
6991976.batch;batch;;COMPLETED;0:0;00:00:07;7;2026-04-30T23:51:53;2026-04-30T23:52:00;n01p038;56;1;;;;;0n;0;00:06:32;392
6991976.0;ecm-optimizer;;COMPLETED;0:0;00:00:03;3;2026-04-30T23:51:57;2026-04-30T23:52:00;n01p038;2;1;;;;;0n;0;00:00:06;6
6991977;ecm_dataset_20_single;tornado;COMPLETED;0:0;00:00:05;5;2026-04-30T23:52:00;2026-04-30T23:52:05;n01p038;56;1;None;12:00:00;720;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:04:40;280
6991977.batch;batch;;COMPLETED;0:0;00:00:05;5;2026-04-30T23:52:00;2026-04-30T23:52:05;n01p038;56;1;;;;;0n;0;00:04:40;280
6991978;ecm_opt_de_single;tornado;FAILED;1:0;00:00:04;4;2026-04-30T23:52:06;2026-04-30T23:52:10;n01p038;56;1;Dependency;12:00:00;720;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:03:44;224
6991978.batch;batch;;FAILED;1:0;00:00:04;4;2026-04-30T23:52:06;2026-04-30T23:52:10;n01p038;56;1;;;;;0n;0;00:03:44;224
